{'statesScanned': 17049234, 'win?': 1, 'timeTaken': '0:56:13.788000', 'score': 4220, 'startTime': '2016-11-28 08:06:57', 'maxTile': 4096, 'moves': 1921}
{'statesScanned': 17129790, 'win?': 1, 'timeTaken': '0:52:49.250000', 'score': 4392, 'startTime': '2016-11-28 09:03:12', 'maxTile': 4096, 'moves': 2003}
{'statesScanned': 10657776, 'win?': 0, 'timeTaken': '0:45:15.319000', 'score': 2156, 'startTime': '2016-11-24 18:39:21', 'maxTile': 2048, 'moves': 1857}
{'statesScanned': 9901761, 'win?': 0, 'timeTaken': '0:22:43.776000', 'score': 2420, 'startTime': '2016-11-24 19:03:37', 'maxTile': 2048, 'moves': 1089}
{'statesScanned': 10309832, 'win?': 0, 'timeTaken': '0:23:25.787000', 'score': 2202, 'startTime': '2016-11-24 19:26:22', 'maxTile': 2048, 'moves': 998}
{'statesScanned': 9727694, 'win?': 0, 'timeTaken': '0:23:32.267000', 'score': 2270, 'startTime': '2016-11-24 19:49:48', 'maxTile': 2048, 'moves': 1033}
{'statesScanned': 7260265, 'win?': 0, 'timeTaken': '0:17:17.789000', 'score': 1852, 'startTime': '2016-11-24 20:13:22', 'maxTile': 1024, 'moves': 845}
{'statesScanned': 10363153, 'win?': 0, 'timeTaken': '0:28:42.288000', 'score': 2240, 'startTime': '2016-11-24 20:30:41', 'maxTile': 2048, 'moves': 1019}
{'statesScanned': 10589968, 'win?': 0, 'timeTaken': '0:29:45.941000', 'score': 2142, 'startTime': '2016-11-24 20:54:24', 'maxTile': 2048, 'moves': 980}
{'statesScanned': 10284782, 'win?': 0, 'timeTaken': '0:28:59.048000', 'score': 2122, 'startTime': '2016-11-24 21:18:11', 'maxTile': 2048, 'moves': 956}
{'statesScanned': 11187511, 'win?': 0, 'timeTaken': '0:25:00.546000', 'score': 2264, 'startTime': '2016-11-24 21:41:11', 'maxTile': 1024, 'moves': 1021}
{'statesScanned': 11110737, 'win?': 0, 'timeTaken': '0:33:48.150000', 'score': 2152, 'startTime': '2016-11-24 22:06:12', 'maxTile': 2048, 'moves': 1248}
{'statesScanned': 10288576, 'win?': 0, 'timeTaken': '0:39:00.303000', 'score': 2106, 'startTime': '2016-11-24 22:31:02', 'maxTile': 2048, 'moves': 1356}
{'statesScanned': 11210284, 'win?': 0, 'timeTaken': '0:24:59.433000', 'score': 2236, 'startTime': '2016-11-24 22:54:03', 'maxTile': 1024, 'moves': 1024}
{'statesScanned': 11484979, 'win?': 0, 'timeTaken': '0:25:36.090000', 'score': 2208, 'startTime': '2016-11-24 23:19:03', 'maxTile': 2048, 'moves': 1005}
{'statesScanned': 17268410, 'win?': 1, 'timeTaken': '0:44:52.019000', 'score': 4222, 'startTime': '2016-11-27 13:03:15', 'maxTile': 4096, 'moves': 1939}
{'statesScanned': 14868730, 'win?': 1, 'timeTaken': '0:36:38.494000', 'score': 4234, 'startTime': '2016-11-27 13:48:08', 'maxTile': 4096, 'moves': 1897}
{'statesScanned': 16061582, 'win?': 1, 'timeTaken': '0:39:25.467000', 'score': 4270, 'startTime': '2016-11-27 14:24:48', 'maxTile': 4096, 'moves': 1932}
{'statesScanned': 17252649, 'win?': 1, 'timeTaken': '0:41:49.616000', 'score': 4270, 'startTime': '2016-11-27 15:04:14', 'maxTile': 4096, 'moves': 1959}
{'statesScanned': 10736189, 'win?': 0, 'timeTaken': '0:24:21.357000', 'score': 2114, 'startTime': '2016-11-25 01:16:34', 'maxTile': 2048, 'moves': 962}
{'statesScanned': 10525955, 'win?': 0, 'timeTaken': '0:23:55.405000', 'score': 2158, 'startTime': '2016-11-25 01:40:56', 'maxTile': 2048, 'moves': 965}
{'statesScanned': 9967766, 'win?': 0, 'timeTaken': '0:22:39.200000', 'score': 2166, 'startTime': '2016-11-25 02:04:53', 'maxTile': 2048, 'moves': 988}
{'statesScanned': 10325084, 'win?': 0, 'timeTaken': '0:23:37.043000', 'score': 2428, 'startTime': '2016-11-25 02:27:33', 'maxTile': 2048, 'moves': 1099}
{'statesScanned': 11343037, 'win?': 0, 'timeTaken': '0:25:52.029000', 'score': 2156, 'startTime': '2016-11-25 02:51:11', 'maxTile': 2048, 'moves': 984}
{'statesScanned': 10557640, 'win?': 0, 'timeTaken': '0:24:01.249000', 'score': 2146, 'startTime': '2016-11-25 03:17:04', 'maxTile': 2048, 'moves': 977}
{'statesScanned': 10202299, 'win?': 0, 'timeTaken': '0:23:12.126000', 'score': 2142, 'startTime': '2016-11-25 03:41:06', 'maxTile': 2048, 'moves': 976}
{'statesScanned': 9735290, 'win?': 0, 'timeTaken': '0:22:22.415000', 'score': 2298, 'startTime': '2016-11-25 04:04:19', 'maxTile': 1024, 'moves': 1039}
{'statesScanned': 9979127, 'win?': 0, 'timeTaken': '0:22:57.691000', 'score': 2404, 'startTime': '2016-11-25 04:26:43', 'maxTile': 2048, 'moves': 1088}
{'statesScanned': 11307632, 'win?': 0, 'timeTaken': '0:25:30.053000', 'score': 2124, 'startTime': '2016-11-25 04:49:41', 'maxTile': 2048, 'moves': 977}
{'statesScanned': 10948532, 'win?': 0, 'timeTaken': '0:24:43.294000', 'score': 2172, 'startTime': '2016-11-25 05:15:13', 'maxTile': 2048, 'moves': 993}
{'statesScanned': 9303108, 'win?': 0, 'timeTaken': '0:21:11.164000', 'score': 2138, 'startTime': '2016-11-25 05:39:57', 'maxTile': 2048, 'moves': 978}
{'statesScanned': 10140733, 'win?': 0, 'timeTaken': '0:23:09.773000', 'score': 2210, 'startTime': '2016-11-25 06:01:09', 'maxTile': 2048, 'moves': 995}
{'statesScanned': 10247290, 'win?': 0, 'timeTaken': '0:23:19.730000', 'score': 2138, 'startTime': '2016-11-25 06:24:20', 'maxTile': 2048, 'moves': 973}
{'statesScanned': 11295199, 'win?': 0, 'timeTaken': '0:26:21.931000', 'score': 2200, 'startTime': '2016-11-25 06:47:40', 'maxTile': 2048, 'moves': 1007}
{'statesScanned': 9191324, 'win?': 0, 'timeTaken': '0:21:04.650000', 'score': 2140, 'startTime': '2016-11-25 07:14:03', 'maxTile': 2048, 'moves': 972}
{'statesScanned': 11322135, 'win?': 0, 'timeTaken': '0:25:47.634000', 'score': 2146, 'startTime': '2016-11-25 07:35:09', 'maxTile': 2048, 'moves': 987}
{'statesScanned': 11229272, 'win?': 0, 'timeTaken': '0:25:33.054000', 'score': 2222, 'startTime': '2016-11-25 08:00:58', 'maxTile': 2048, 'moves': 1005}
{'statesScanned': 9605659, 'win?': 0, 'timeTaken': '0:21:49.212000', 'score': 2128, 'startTime': '2016-11-25 08:26:32', 'maxTile': 2048, 'moves': 966}
{'statesScanned': 10852162, 'win?': 0, 'timeTaken': '0:24:36.715000', 'score': 2116, 'startTime': '2016-11-25 08:48:22', 'maxTile': 2048, 'moves': 964}
{'statesScanned': 11192603, 'win?': 0, 'timeTaken': '0:25:17.855000', 'score': 2172, 'startTime': '2016-11-25 09:13:00', 'maxTile': 2048, 'moves': 989}
{'statesScanned': 11561790, 'win?': 0, 'timeTaken': '0:26:08.083000', 'score': 2230, 'startTime': '2016-11-25 09:38:19', 'maxTile': 2048, 'moves': 999}
{'statesScanned': 10774537, 'win?': 0, 'timeTaken': '0:24:30.306000', 'score': 2420, 'startTime': '2016-11-25 10:04:28', 'maxTile': 1024, 'moves': 1103}
{'statesScanned': 11347600, 'win?': 0, 'timeTaken': '0:25:41.492000', 'score': 2180, 'startTime': '2016-11-25 10:28:59', 'maxTile': 2048, 'moves': 995}
{'statesScanned': 10300696, 'win?': 0, 'timeTaken': '0:23:19.713000', 'score': 2152, 'startTime': '2016-11-25 10:54:41', 'maxTile': 2048, 'moves': 969}
{'statesScanned': 10677666, 'win?': 1, 'timeTaken': '0:38:17.271000', 'score': 2160, 'startTime': '2016-11-25 11:18:02', 'maxTile': 4096, 'moves': 1921}
{'statesScanned': 10444923, 'win?': 0, 'timeTaken': '0:23:44.451000', 'score': 2218, 'startTime': '2016-11-25 11:42:21', 'maxTile': 2048, 'moves': 1001}
{'statesScanned': 10317416, 'win?': 0, 'timeTaken': '0:23:23.497000', 'score': 2110, 'startTime': '2016-11-25 12:06:06', 'maxTile': 2048, 'moves': 958}
{'statesScanned': 11209653, 'win?': 0, 'timeTaken': '0:25:24.162000', 'score': 2142, 'startTime': '2016-11-25 12:29:30', 'maxTile': 2048, 'moves': 973}
{'statesScanned': 9537778, 'win?': 0, 'timeTaken': '0:21:50.763000', 'score': 2142, 'startTime': '2016-11-25 12:54:56', 'maxTile': 2048, 'moves': 970}
{'statesScanned': 10428141, 'win?': 0, 'timeTaken': '0:23:48.215000', 'score': 2172, 'startTime': '2016-11-25 13:16:47', 'maxTile': 1024, 'moves': 980}
{'statesScanned': 11126570, 'win?': 0, 'timeTaken': '0:25:27.400000', 'score': 2210, 'startTime': '2016-11-25 13:40:37', 'maxTile': 2048, 'moves': 994}
{'statesScanned': 9876219, 'win?': 0, 'timeTaken': '0:22:28.402000', 'score': 2222, 'startTime': '2016-11-25 14:06:05', 'maxTile': 2048, 'moves': 1004}
{'statesScanned': 11506079, 'win?': 0, 'timeTaken': '0:26:04.968000', 'score': 2338, 'startTime': '2016-11-25 14:28:34', 'maxTile': 2048, 'moves': 1069}
{'statesScanned': 11194938, 'win?': 0, 'timeTaken': '0:25:13.185000', 'score': 2122, 'startTime': '2016-11-25 14:54:40', 'maxTile': 2048, 'moves': 966}
{'statesScanned': 10215442, 'win?': 0, 'timeTaken': '0:23:06.453000', 'score': 2150, 'startTime': '2016-11-25 15:19:55', 'maxTile': 2048, 'moves': 969}
{'statesScanned': 10230250, 'win?': 0, 'timeTaken': '0:23:19.904000', 'score': 2494, 'startTime': '2016-11-25 15:43:02', 'maxTile': 2048, 'moves': 1141}
{'statesScanned': 10146118, 'win?': 0, 'timeTaken': '0:23:06.134000', 'score': 2418, 'startTime': '2016-11-25 16:06:23', 'maxTile': 1024, 'moves': 1090}
{'statesScanned': 8760156, 'win?': 0, 'timeTaken': '0:20:04.889000', 'score': 2164, 'startTime': '2016-11-25 16:29:30', 'maxTile': 2048, 'moves': 990}
{'statesScanned': 10375771, 'win?': 0, 'timeTaken': '0:23:33.665000', 'score': 2230, 'startTime': '2016-11-25 16:49:36', 'maxTile': 2048, 'moves': 1003}
{'statesScanned': 11120269, 'win?': 0, 'timeTaken': '0:25:05.115000', 'score': 2218, 'startTime': '2016-11-25 17:13:11', 'maxTile': 2048, 'moves': 999}
{'statesScanned': 9915113, 'win?': 0, 'timeTaken': '0:22:29.734000', 'score': 2200, 'startTime': '2016-11-25 17:38:17', 'maxTile': 2048, 'moves': 986}
{'statesScanned': 10273793, 'win?': 0, 'timeTaken': '0:23:15.990000', 'score': 2320, 'startTime': '2016-11-25 18:00:48', 'maxTile': 2048, 'moves': 1041}
{'statesScanned': 10365117, 'win?': 0, 'timeTaken': '0:23:28.074000', 'score': 2072, 'startTime': '2016-11-25 18:24:05', 'maxTile': 2048, 'moves': 942}
{'statesScanned': 10728938, 'win?': 0, 'timeTaken': '0:24:16.572000', 'score': 2162, 'startTime': '2016-11-25 18:47:34', 'maxTile': 2048, 'moves': 989}
{'statesScanned': 15499337, 'win?': 0, 'timeTaken': '0:49:54.323000', 'score': 4204, 'startTime': '2016-11-27 23:20:06', 'maxTile': 2048, 'moves': 1914}
{'statesScanned': 14732268, 'win?': 0, 'timeTaken': '0:44:42.496000', 'score': 3656, 'startTime': '2016-11-28 00:10:02', 'maxTile': 2048, 'moves': 1659}
{'statesScanned': 17106411, 'win?': 1, 'timeTaken': '0:52:48.617000', 'score': 4250, 'startTime': '2016-11-28 00:54:45', 'maxTile': 4096, 'moves': 1923}
{'statesScanned': 16427456, 'win?': 0, 'timeTaken': '0:48:35.453000', 'score': 3928, 'startTime': '2016-11-28 01:47:35', 'maxTile': 2048, 'moves': 1777}
