{'statesScanned': 42301, 'win?': 0, 'timeTaken': '0:00:10.685000', 'score': 1464, 'startTime': '2016-11-24 17:39:32', 'maxTile': 512, 'moves': 652}
{'statesScanned': 35873, 'win?': 0, 'timeTaken': '0:00:09.297000', 'score': 1256, 'startTime': '2016-11-24 17:39:44', 'maxTile': 512, 'moves': 566}
{'statesScanned': 58579, 'win?': 0, 'timeTaken': '0:00:14.315000', 'score': 1958, 'startTime': '2016-11-24 17:39:54', 'maxTile': 1024, 'moves': 888}
{'statesScanned': 58818, 'win?': 0, 'timeTaken': '0:00:14.990000', 'score': 2144, 'startTime': '2016-11-24 17:40:09', 'maxTile': 1024, 'moves': 989}
{'statesScanned': 38034, 'win?': 0, 'timeTaken': '0:00:09.786000', 'score': 1308, 'startTime': '2016-11-24 17:40:25', 'maxTile': 512, 'moves': 592}
{'statesScanned': 56355, 'win?': 0, 'timeTaken': '0:00:14.357000', 'score': 2108, 'startTime': '2016-11-24 17:40:36', 'maxTile': 1024, 'moves': 957}
{'statesScanned': 28135, 'win?': 0, 'timeTaken': '0:00:07.363000', 'score': 928, 'startTime': '2016-11-24 17:40:52', 'maxTile': 512, 'moves': 411}
{'statesScanned': 28005, 'win?': 0, 'timeTaken': '0:00:07.582000', 'score': 1008, 'startTime': '2016-11-24 17:41:00', 'maxTile': 512, 'moves': 449}
{'statesScanned': 57634, 'win?': 1, 'timeTaken': '0:00:13.865000', 'score': 2164, 'startTime': '2016-11-24 17:41:09', 'maxTile': 2048, 'moves': 994}
{'statesScanned': 30801, 'win?': 0, 'timeTaken': '0:00:08.068000', 'score': 1076, 'startTime': '2016-11-24 17:41:22', 'maxTile': 512, 'moves': 484}
{'statesScanned': 52348, 'win?': 0, 'timeTaken': '0:00:13.591000', 'score': 1984, 'startTime': '2016-11-24 17:41:31', 'maxTile': 1024, 'moves': 900}
{'statesScanned': 52452, 'win?': 0, 'timeTaken': '0:00:12.947000', 'score': 1700, 'startTime': '2016-11-24 17:41:46', 'maxTile': 1024, 'moves': 776}
{'statesScanned': 33943, 'win?': 0, 'timeTaken': '0:00:08.785000', 'score': 1160, 'startTime': '2016-11-24 17:42:00', 'maxTile': 512, 'moves': 520}
{'statesScanned': 26790, 'win?': 0, 'timeTaken': '0:00:07.471000', 'score': 906, 'startTime': '2016-11-24 17:42:10', 'maxTile': 512, 'moves': 420}
{'statesScanned': 36815, 'win?': 0, 'timeTaken': '0:00:09.606000', 'score': 1212, 'startTime': '2016-11-24 17:42:18', 'maxTile': 512, 'moves': 551}
{'statesScanned': 31668, 'win?': 0, 'timeTaken': '0:00:08.307000', 'score': 1082, 'startTime': '2016-11-24 17:42:29', 'maxTile': 512, 'moves': 488}
{'statesScanned': 47199, 'win?': 0, 'timeTaken': '0:00:12.440000', 'score': 1708, 'startTime': '2016-11-24 17:42:38', 'maxTile': 1024, 'moves': 777}
{'statesScanned': 58109, 'win?': 0, 'timeTaken': '0:00:14.945000', 'score': 2132, 'startTime': '2016-11-24 17:42:52', 'maxTile': 1024, 'moves': 965}
{'statesScanned': 48977, 'win?': 0, 'timeTaken': '0:00:12.096000', 'score': 1642, 'startTime': '2016-11-24 17:43:08', 'maxTile': 1024, 'moves': 730}
{'statesScanned': 55929, 'win?': 0, 'timeTaken': '0:00:14.333000', 'score': 2116, 'startTime': '2016-11-24 17:43:21', 'maxTile': 1024, 'moves': 953}
{'statesScanned': 49030, 'win?': 0, 'timeTaken': '0:00:12.630000', 'score': 1800, 'startTime': '2016-11-24 17:43:36', 'maxTile': 1024, 'moves': 810}
{'statesScanned': 59550, 'win?': 0, 'timeTaken': '0:00:15.513000', 'score': 2346, 'startTime': '2016-11-24 17:43:50', 'maxTile': 1024, 'moves': 1064}
{'statesScanned': 49725, 'win?': 0, 'timeTaken': '0:00:12.663000', 'score': 1830, 'startTime': '2016-11-24 17:44:06', 'maxTile': 1024, 'moves': 820}
{'statesScanned': 44502, 'win?': 0, 'timeTaken': '0:00:11.427000', 'score': 1532, 'startTime': '2016-11-24 17:44:20', 'maxTile': 1024, 'moves': 686}
{'statesScanned': 47402, 'win?': 0, 'timeTaken': '0:00:12.172000', 'score': 1738, 'startTime': '2016-11-24 17:44:32', 'maxTile': 1024, 'moves': 784}
{'statesScanned': 22379, 'win?': 0, 'timeTaken': '0:00:06.181000', 'score': 746, 'startTime': '2016-11-24 17:44:46', 'maxTile': 256, 'moves': 344}
{'statesScanned': 54298, 'win?': 0, 'timeTaken': '0:00:13.919000', 'score': 1974, 'startTime': '2016-11-24 17:44:53', 'maxTile': 1024, 'moves': 892}
{'statesScanned': 47410, 'win?': 0, 'timeTaken': '0:00:12.475000', 'score': 1872, 'startTime': '2016-11-24 17:45:08', 'maxTile': 1024, 'moves': 831}
{'statesScanned': 61975, 'win?': 0, 'timeTaken': '0:00:15.721000', 'score': 2300, 'startTime': '2016-11-24 17:45:21', 'maxTile': 1024, 'moves': 1043}
{'statesScanned': 35430, 'win?': 0, 'timeTaken': '0:00:09.018000', 'score': 1130, 'startTime': '2016-11-24 17:45:38', 'maxTile': 512, 'moves': 520}
{'statesScanned': 33922, 'win?': 0, 'timeTaken': '0:00:09.025000', 'score': 1210, 'startTime': '2016-11-24 17:45:48', 'maxTile': 512, 'moves': 546}
