{'statesScanned': 913170, 'win?': 0, 'timeTaken': '0:00:35.719494', 'score': 872, 'startTime': '2016-11-27 20:13:05', 'maxTile': 256, 'moves': 391}
{'statesScanned': 1758211, 'win?': 0, 'timeTaken': '0:01:08.888096', 'score': 2050, 'startTime': '2016-11-27 20:13:42', 'maxTile': 1024, 'moves': 932}
{'statesScanned': 1394568, 'win?': 0, 'timeTaken': '0:00:50.923512', 'score': 1226, 'startTime': '2016-11-27 20:14:52', 'maxTile': 512, 'moves': 552}
{'statesScanned': 1723765, 'win?': 0, 'timeTaken': '0:01:18.828971', 'score': 1698, 'startTime': '2016-11-27 20:15:43', 'maxTile': 1024, 'moves': 762}
{'statesScanned': 1772969, 'win?': 0, 'timeTaken': '0:01:24.101862', 'score': 1770, 'startTime': '2016-11-27 20:17:03', 'maxTile': 1024, 'moves': 802}
{'statesScanned': 1977579, 'win?': 0, 'timeTaken': '0:01:32.796841', 'score': 2204, 'startTime': '2016-11-27 20:18:28', 'maxTile': 1024, 'moves': 1011}
{'statesScanned': 1870116, 'win?': 0, 'timeTaken': '0:01:24.984972', 'score': 2206, 'startTime': '2016-11-27 20:20:02', 'maxTile': 1024, 'moves': 1000}
{'statesScanned': 1413280, 'win?': 0, 'timeTaken': '0:00:52.487145', 'score': 1158, 'startTime': '2016-11-27 20:21:28', 'maxTile': 512, 'moves': 518}
{'statesScanned': 996820, 'win?': 0, 'timeTaken': '0:00:43.760243', 'score': 1206, 'startTime': '2016-11-27 20:22:22', 'maxTile': 512, 'moves': 547}
{'statesScanned': 1819109, 'win?': 0, 'timeTaken': '0:01:22.751918', 'score': 1768, 'startTime': '2016-11-27 20:23:06', 'maxTile': 1024, 'moves': 799}
{'statesScanned': 1928522, 'win?': 0, 'timeTaken': '0:01:27.655567', 'score': 2204, 'startTime': '2016-11-27 20:24:30', 'maxTile': 1024, 'moves': 979}
{'statesScanned': 1990943, 'win?': 1, 'timeTaken': '0:01:42.819349', 'score': 2206, 'startTime': '2016-11-27 20:25:59', 'maxTile': 2048, 'moves': 1005}
{'statesScanned': 1213746, 'win?': 0, 'timeTaken': '0:00:51.970824', 'score': 1132, 'startTime': '2016-11-27 20:27:43', 'maxTile': 512, 'moves': 519}
{'statesScanned': 1183952, 'win?': 0, 'timeTaken': '0:00:57.783741', 'score': 1162, 'startTime': '2016-11-27 20:28:36', 'maxTile': 512, 'moves': 531}
{'statesScanned': 1393367, 'win?': 0, 'timeTaken': '0:00:53.453690', 'score': 1414, 'startTime': '2016-11-27 20:29:34', 'maxTile': 512, 'moves': 651}
{'statesScanned': 1157022, 'win?': 0, 'timeTaken': '0:00:44.692330', 'score': 1368, 'startTime': '2016-11-27 20:30:29', 'maxTile': 512, 'moves': 613}
{'statesScanned': 1742985, 'win?': 0, 'timeTaken': '0:01:08.598774', 'score': 2124, 'startTime': '2016-11-27 20:31:15', 'maxTile': 1024, 'moves': 964}
{'statesScanned': 1708599, 'win?': 0, 'timeTaken': '0:01:09.494714', 'score': 2314, 'startTime': '2016-11-27 20:32:24', 'maxTile': 1024, 'moves': 1054}
{'statesScanned': 1320586, 'win?': 0, 'timeTaken': '0:00:55.080204', 'score': 1820, 'startTime': '2016-11-27 20:33:35', 'maxTile': 512, 'moves': 835}
