XXXXXXXX
{'statesScanned': 918992, 'win?': 1, 'timeTaken': '0:02:34.398000', 'score': 3002, 'startTime': '2016-11-25 00:56:23', 'maxTile': 2048, 'moves': 1364}
{'statesScanned': 1479283, 'win?': 1, 'timeTaken': '0:04:08.250000', 'score': 4168, 'startTime': '2016-11-25 00:58:58', 'maxTile': 2048, 'moves': 1877}
{'statesScanned': 912981, 'win?': 1, 'timeTaken': '0:02:32.949000', 'score': 2586, 'startTime': '2016-11-25 01:03:08', 'maxTile': 2048, 'moves': 1177}
{'statesScanned': 1151809, 'win?': 1, 'timeTaken': '0:03:13.247000', 'score': 3222, 'startTime': '2016-11-25 01:05:42', 'maxTile': 2048, 'moves': 1465}
{'statesScanned': 1092922, 'win?': 1, 'timeTaken': '0:03:03.256000', 'score': 3130, 'startTime': '2016-11-25 01:08:56', 'maxTile': 2048, 'moves': 1415}
{'statesScanned': 1311965, 'win?': 1, 'timeTaken': '0:03:42.139000', 'score': 4066, 'startTime': '2016-11-25 01:12:00', 'maxTile': 2048, 'moves': 1852}
{'statesScanned': 1167085, 'win?': 1, 'timeTaken': '0:03:18.220000', 'score': 4408, 'startTime': '2016-11-25 01:15:43', 'maxTile': 2048, 'moves': 2004}
{'statesScanned': 898528, 'win?': 0, 'timeTaken': '0:02:29.312000', 'score': 2104, 'startTime': '2016-11-25 01:19:03', 'maxTile': 1024, 'moves': 956}
{'statesScanned': 1676536, 'win?': 1, 'timeTaken': '0:04:41.381000', 'score': 5308, 'startTime': '2016-11-25 01:21:33', 'maxTile': 4096, 'moves': 2416}
{'statesScanned': 1179893, 'win?': 1, 'timeTaken': '0:03:18.276000', 'score': 3204, 'startTime': '2016-11-25 01:26:15', 'maxTile': 2048, 'moves': 1465}
{'statesScanned': 1451501, 'win?': 1, 'timeTaken': '0:04:04.139000', 'score': 4552, 'startTime': '2016-11-25 01:29:35', 'maxTile': 2048, 'moves': 2064}
{'statesScanned': 1160107, 'win?': 1, 'timeTaken': '0:03:15.362000', 'score': 3934, 'startTime': '2016-11-25 01:33:40', 'maxTile': 2048, 'moves': 1794}
{'statesScanned': 1204343, 'win?': 1, 'timeTaken': '0:03:24.624000', 'score': 4160, 'startTime': '2016-11-25 01:36:56', 'maxTile': 2048, 'moves': 1886}
{'statesScanned': 1126044, 'win?': 1, 'timeTaken': '0:03:08.334000', 'score': 3124, 'startTime': '2016-11-25 01:40:22', 'maxTile': 2048, 'moves': 1420}
{'statesScanned': 386714, 'win?': 0, 'timeTaken': '0:01:04.353000', 'score': 908, 'startTime': '2016-11-25 01:43:31', 'maxTile': 512, 'moves': 399}
{'statesScanned': 974980, 'win?': 1, 'timeTaken': '0:02:43.466000', 'score': 2836, 'startTime': '2016-11-25 01:44:37', 'maxTile': 2048, 'moves': 1281}
{'statesScanned': 1005450, 'win?': 0, 'timeTaken': '0:02:47.729000', 'score': 2808, 'startTime': '2016-11-25 01:47:21', 'maxTile': 1024, 'moves': 1276}
{'statesScanned': 1173046, 'win?': 1, 'timeTaken': '0:03:18.028000', 'score': 3676, 'startTime': '2016-11-25 01:50:10', 'maxTile': 2048, 'moves': 1658}
{'statesScanned': 1558561, 'win?': 1, 'timeTaken': '0:04:21.496000', 'score': 4392, 'startTime': '2016-11-25 01:53:29', 'maxTile': 2048, 'moves': 2003}
{'statesScanned': 609600, 'win?': 0, 'timeTaken': '0:01:41.170000', 'score': 1264, 'startTime': '2016-11-25 01:57:51', 'maxTile': 512, 'moves': 580}
{'statesScanned': 600080, 'win?': 0, 'timeTaken': '0:01:38.958000', 'score': 1366, 'startTime': '2016-11-25 01:59:34', 'maxTile': 512, 'moves': 622}
{'statesScanned': 899272, 'win?': 1, 'timeTaken': '0:02:30.589000', 'score': 2376, 'startTime': '2016-11-25 02:01:13', 'maxTile': 2048, 'moves': 1075}
{'statesScanned': 490874, 'win?': 0, 'timeTaken': '0:01:22.482000', 'score': 1554, 'startTime': '2016-11-25 02:03:45', 'maxTile': 1024, 'moves': 710}
{'statesScanned': 830814, 'win?': 0, 'timeTaken': '0:02:18.469000', 'score': 2234, 'startTime': '2016-11-25 02:05:09', 'maxTile': 1024, 'moves': 993}
{'statesScanned': 1027834, 'win?': 1, 'timeTaken': '0:02:52.060000', 'score': 3096, 'startTime': '2016-11-25 02:07:28', 'maxTile': 2048, 'moves': 1392}
{'statesScanned': 1089335, 'win?': 1, 'timeTaken': '0:03:02.735000', 'score': 3164, 'startTime': '2016-11-25 02:10:21', 'maxTile': 2048, 'moves': 1437}
{'statesScanned': 1296782, 'win?': 1, 'timeTaken': '0:03:38.564000', 'score': 3976, 'startTime': '2016-11-25 02:13:25', 'maxTile': 2048, 'moves': 1808}
{'statesScanned': 957235, 'win?': 1, 'timeTaken': '0:02:38.826000', 'score': 2336, 'startTime': '2016-11-25 02:17:04', 'maxTile': 2048, 'moves': 1055}
{'statesScanned': 1284788, 'win?': 1, 'timeTaken': '0:03:34.254000', 'score': 3936, 'startTime': '2016-11-25 02:19:44', 'maxTile': 2048, 'moves': 1794}
{'statesScanned': 996230, 'win?': 1, 'timeTaken': '0:02:47.140000', 'score': 2772, 'startTime': '2016-11-25 02:23:20', 'maxTile': 2048, 'moves': 1275}
{'statesScanned': 1333792, 'win?': 1, 'timeTaken': '0:03:46.727000', 'score': 4602, 'startTime': '2016-11-25 02:26:08', 'maxTile': 2048, 'moves': 2077}
{'statesScanned': 533652, 'win?': 0, 'timeTaken': '0:01:29.038000', 'score': 1516, 'startTime': '2016-11-25 02:29:56', 'maxTile': 512, 'moves': 680}
{'statesScanned': 606535, 'win?': 0, 'timeTaken': '0:01:40.689000', 'score': 1634, 'startTime': '2016-11-25 02:31:26', 'maxTile': 1024, 'moves': 734}
