{'statesScanned': 2921236, 'win?': 1, 'timeTaken': '0:02:34.736000', 'score': 3370, 'startTime': '2016-11-26 12:18:37', 'maxTile': 2048, 'moves': 1528}
{'statesScanned': 3498796, 'win?': 1, 'timeTaken': '0:03:07.340000', 'score': 4164, 'startTime': '2016-11-26 12:21:13', 'maxTile': 2048, 'moves': 1885}
{'statesScanned': 3262967, 'win?': 1, 'timeTaken': '0:02:54.903000', 'score': 4024, 'startTime': '2016-11-26 12:24:21', 'maxTile': 2048, 'moves': 1832}
{'statesScanned': 2899135, 'win?': 1, 'timeTaken': '0:02:38.805000', 'score': 4196, 'startTime': '2016-11-26 12:27:17', 'maxTile': 2048, 'moves': 1888}
{'statesScanned': 1486991, 'win?': 0, 'timeTaken': '0:01:13.822000', 'score': 1146, 'startTime': '2016-11-26 12:29:57', 'maxTile': 512, 'moves': 518}
{'statesScanned': 1166256, 'win?': 0, 'timeTaken': '0:01:00.666000', 'score': 1316, 'startTime': '2016-11-26 12:31:12', 'maxTile': 1024, 'moves': 588}
{'statesScanned': 2271405, 'win?': 0, 'timeTaken': '0:01:59.868000', 'score': 2584, 'startTime': '2016-11-26 12:32:13', 'maxTile': 1024, 'moves': 1173}
{'statesScanned': 3090269, 'win?': 1, 'timeTaken': '0:02:46.205000', 'score': 4008, 'startTime': '2016-11-26 12:34:14', 'maxTile': 2048, 'moves': 1796}
{'statesScanned': 2566890, 'win?': 1, 'timeTaken': '0:02:13.570000', 'score': 2742, 'startTime': '2016-11-26 12:37:01', 'maxTile': 2048, 'moves': 1240}
{'statesScanned': 3437609, 'win?': 1, 'timeTaken': '0:03:01.513000', 'score': 3624, 'startTime': '2016-11-26 12:39:16', 'maxTile': 2048, 'moves': 1645}
{'statesScanned': 3045171, 'win?': 1, 'timeTaken': '0:02:44.588000', 'score': 4084, 'startTime': '2016-11-26 12:42:18', 'maxTile': 2048, 'moves': 1844}
{'statesScanned': 1906547, 'win?': 0, 'timeTaken': '0:01:39.564000', 'score': 2064, 'startTime': '2016-11-26 12:45:04', 'maxTile': 1024, 'moves': 944}
{'statesScanned': 766310, 'win?': 0, 'timeTaken': '0:00:37.555000', 'score': 538, 'startTime': '2016-11-26 12:46:45', 'maxTile': 256, 'moves': 238}
{'statesScanned': 2178379, 'win?': 0, 'timeTaken': '0:01:50.434000', 'score': 1882, 'startTime': '2016-11-26 12:47:23', 'maxTile': 1024, 'moves': 856}
{'statesScanned': 2434611, 'win?': 0, 'timeTaken': '0:02:04.014000', 'score': 2276, 'startTime': '2016-11-26 12:49:15', 'maxTile': 1024, 'moves': 1047}
