{'statesScanned': 54723, 'win?': 0, 'timeTaken': '0:00:13.555000', 'score': 2068, 'startTime': '2016-11-24 22:03:58', 'maxTile': 1024, 'moves': 927}
{'statesScanned': 49579, 'win?': 0, 'timeTaken': '0:00:11.412000', 'score': 1650, 'startTime': '2016-11-24 22:04:13', 'maxTile': 1024, 'moves': 748}
{'statesScanned': 60578, 'win?': 0, 'timeTaken': '0:00:13.707000', 'score': 2122, 'startTime': '2016-11-24 22:04:25', 'maxTile': 1024, 'moves': 961}
{'statesScanned': 64767, 'win?': 0, 'timeTaken': '0:00:14.522000', 'score': 2196, 'startTime': '2016-11-24 22:04:40', 'maxTile': 1024, 'moves': 1010}
{'statesScanned': 18704, 'win?': 0, 'timeTaken': '0:00:04.983000', 'score': 650, 'startTime': '2016-11-24 22:04:55', 'maxTile': 256, 'moves': 295}
{'statesScanned': 49585, 'win?': 0, 'timeTaken': '0:00:11.432000', 'score': 1768, 'startTime': '2016-11-24 22:05:01', 'maxTile': 1024, 'moves': 811}
{'statesScanned': 45745, 'win?': 0, 'timeTaken': '0:00:10.852000', 'score': 1736, 'startTime': '2016-11-24 22:05:14', 'maxTile': 1024, 'moves': 779}
{'statesScanned': 36906, 'win?': 0, 'timeTaken': '0:00:08.780000', 'score': 1368, 'startTime': '2016-11-24 22:05:25', 'maxTile': 512, 'moves': 605}
{'statesScanned': 77582, 'win?': 1, 'timeTaken': '0:00:18.217000', 'score': 3076, 'startTime': '2016-11-24 22:05:35', 'maxTile': 2048, 'moves': 1406}
{'statesScanned': 49486, 'win?': 0, 'timeTaken': '0:00:11.225000', 'score': 1644, 'startTime': '2016-11-24 22:05:54', 'maxTile': 1024, 'moves': 757}
{'statesScanned': 57861, 'win?': 0, 'timeTaken': '0:00:13.336000', 'score': 2094, 'startTime': '2016-11-24 22:06:07', 'maxTile': 1024, 'moves': 949}
{'statesScanned': 55477, 'win?': 0, 'timeTaken': '0:00:12.937000', 'score': 2050, 'startTime': '2016-11-24 22:06:21', 'maxTile': 1024, 'moves': 937}
{'statesScanned': 19334, 'win?': 0, 'timeTaken': '0:00:05.063000', 'score': 682, 'startTime': '2016-11-24 22:06:35', 'maxTile': 256, 'moves': 301}
{'statesScanned': 62762, 'win?': 0, 'timeTaken': '0:00:14.702000', 'score': 2378, 'startTime': '2016-11-24 22:06:41', 'maxTile': 1024, 'moves': 1076}
{'statesScanned': 31902, 'win?': 0, 'timeTaken': '0:00:07.526000', 'score': 1048, 'startTime': '2016-11-24 22:06:57', 'maxTile': 512, 'moves': 466}
{'statesScanned': 32744, 'win?': 0, 'timeTaken': '0:00:08.069000', 'score': 1228, 'startTime': '2016-11-24 22:07:05', 'maxTile': 512, 'moves': 571}
{'statesScanned': 24636, 'win?': 0, 'timeTaken': '0:00:06.267000', 'score': 896, 'startTime': '2016-11-24 22:07:14', 'maxTile': 256, 'moves': 414}
{'statesScanned': 31315, 'win?': 0, 'timeTaken': '0:00:07.372000', 'score': 966, 'startTime': '2016-11-24 22:07:22', 'maxTile': 512, 'moves': 444}
{'statesScanned': 56281, 'win?': 0, 'timeTaken': '0:00:13.599000', 'score': 2250, 'startTime': '2016-11-24 22:07:30', 'maxTile': 1024, 'moves': 1014}
{'statesScanned': 33502, 'win?': 0, 'timeTaken': '0:00:08.101000', 'score': 1198, 'startTime': '2016-11-24 22:07:45', 'maxTile': 512, 'moves': 542}
{'statesScanned': 58290, 'win?': 0, 'timeTaken': '0:00:13.592000', 'score': 2184, 'startTime': '2016-11-24 22:07:54', 'maxTile': 1024, 'moves': 976}
{'statesScanned': 46898, 'win?': 0, 'timeTaken': '0:00:11.188000', 'score': 1554, 'startTime': '2016-11-24 22:08:08', 'maxTile': 1024, 'moves': 709}
{'statesScanned': 38870, 'win?': 0, 'timeTaken': '0:00:09.430000', 'score': 1430, 'startTime': '2016-11-24 22:08:20', 'maxTile': 512, 'moves': 651}
{'statesScanned': 35758, 'win?': 0, 'timeTaken': '0:00:08.639000', 'score': 1312, 'startTime': '2016-11-24 22:08:31', 'maxTile': 512, 'moves': 594}
{'statesScanned': 35229, 'win?': 0, 'timeTaken': '0:00:08.605000', 'score': 1354, 'startTime': '2016-11-24 22:08:41', 'maxTile': 1024, 'moves': 611}
{'statesScanned': 35644, 'win?': 0, 'timeTaken': '0:00:08.897000', 'score': 1270, 'startTime': '2016-11-24 22:08:50', 'maxTile': 512, 'moves': 581}
{'statesScanned': 36956, 'win?': 0, 'timeTaken': '0:00:09.035000', 'score': 1304, 'startTime': '2016-11-24 22:09:00', 'maxTile': 512, 'moves': 583}
{'statesScanned': 52244, 'win?': 0, 'timeTaken': '0:00:13.250000', 'score': 2170, 'startTime': '2016-11-24 22:09:10', 'maxTile': 1024, 'moves': 987}
{'statesScanned': 59248, 'win?': 0, 'timeTaken': '0:00:13.878000', 'score': 2074, 'startTime': '2016-11-24 22:09:24', 'maxTile': 1024, 'moves': 947}
