{'statesScanned': 97343, 'win?': 0, 'timeTaken': '0:00:14.983000', 'score': 998, 'startTime': '2016-11-27 20:18:05', 'maxTile': 512, 'moves': 445}
{'statesScanned': 104851, 'win?': 0, 'timeTaken': '0:00:16.026000', 'score': 1034, 'startTime': '2016-11-27 20:18:21', 'maxTile': 512, 'moves': 477}
{'statesScanned': 72649, 'win?': 0, 'timeTaken': '0:00:11.732000', 'score': 798, 'startTime': '2016-11-27 20:18:38', 'maxTile': 256, 'moves': 363}
{'statesScanned': 126760, 'win?': 0, 'timeTaken': '0:00:19.656000', 'score': 1384, 'startTime': '2016-11-27 20:18:50', 'maxTile': 512, 'moves': 633}
{'statesScanned': 113822, 'win?': 0, 'timeTaken': '0:00:17.764000', 'score': 1272, 'startTime': '2016-11-27 20:19:11', 'maxTile': 512, 'moves': 574}
{'statesScanned': 156020, 'win?': 0, 'timeTaken': '0:00:24.213000', 'score': 1832, 'startTime': '2016-11-27 20:19:30', 'maxTile': 1024, 'moves': 823}
{'statesScanned': 98637, 'win?': 0, 'timeTaken': '0:00:15.508000', 'score': 1122, 'startTime': '2016-11-27 20:19:55', 'maxTile': 512, 'moves': 511}
{'statesScanned': 202278, 'win?': 0, 'timeTaken': '0:00:31.363000', 'score': 2414, 'startTime': '2016-11-27 20:20:12', 'maxTile': 1024, 'moves': 1111}
{'statesScanned': 87056, 'win?': 0, 'timeTaken': '0:00:13.300000', 'score': 836, 'startTime': '2016-11-27 20:20:44', 'maxTile': 512, 'moves': 386}
{'statesScanned': 181807, 'win?': 0, 'timeTaken': '0:00:28.282000', 'score': 2280, 'startTime': '2016-11-27 20:20:58', 'maxTile': 1024, 'moves': 1012}
{'statesScanned': 311146, 'win?': 1, 'timeTaken': '0:00:49.300000', 'score': 4162, 'startTime': '2016-11-27 20:21:27', 'maxTile': 2048, 'moves': 1885}
{'statesScanned': 106139, 'win?': 0, 'timeTaken': '0:00:16.902000', 'score': 1258, 'startTime': '2016-11-27 20:22:18', 'maxTile': 512, 'moves': 571}
{'statesScanned': 150771, 'win?': 0, 'timeTaken': '0:00:23.782000', 'score': 1930, 'startTime': '2016-11-27 20:22:36', 'maxTile': 1024, 'moves': 870}
{'statesScanned': 150416, 'win?': 0, 'timeTaken': '0:00:23.337000', 'score': 1778, 'startTime': '2016-11-27 20:23:00', 'maxTile': 1024, 'moves': 833}
{'statesScanned': 78981, 'win?': 0, 'timeTaken': '0:00:12.596000', 'score': 940, 'startTime': '2016-11-27 20:23:25', 'maxTile': 256, 'moves': 422}
{'statesScanned': 114115, 'win?': 0, 'timeTaken': '0:00:17.521000', 'score': 1212, 'startTime': '2016-11-27 20:23:38', 'maxTile': 512, 'moves': 547}
{'statesScanned': 158065, 'win?': 0, 'timeTaken': '0:00:25.037000', 'score': 1970, 'startTime': '2016-11-27 20:23:57', 'maxTile': 1024, 'moves': 905}
{'statesScanned': 86213, 'win?': 0, 'timeTaken': '0:00:14.017000', 'score': 1134, 'startTime': '2016-11-27 20:24:23', 'maxTile': 512, 'moves': 508}
{'statesScanned': 58557, 'win?': 0, 'timeTaken': '0:00:09.422000', 'score': 626, 'startTime': '2016-11-27 20:24:38', 'maxTile': 256, 'moves': 285}
{'statesScanned': 273647, 'win?': 1, 'timeTaken': '0:00:42.355000', 'score': 3388, 'startTime': '2016-11-27 20:24:48', 'maxTile': 2048, 'moves': 1547}
{'statesScanned': 117986, 'win?': 0, 'timeTaken': '0:00:18.197000', 'score': 1320, 'startTime': '2016-11-27 20:25:32', 'maxTile': 512, 'moves': 604}
{'statesScanned': 64853, 'win?': 0, 'timeTaken': '0:00:10.304000', 'score': 704, 'startTime': '2016-11-27 20:25:51', 'maxTile': 256, 'moves': 313}
{'statesScanned': 142059, 'win?': 0, 'timeTaken': '0:00:22.435000', 'score': 1604, 'startTime': '2016-11-27 20:26:02', 'maxTile': 1024, 'moves': 727}
{'statesScanned': 185726, 'win?': 0, 'timeTaken': '0:00:29.387000', 'score': 2024, 'startTime': '2016-11-27 20:26:26', 'maxTile': 1024, 'moves': 915}
{'statesScanned': 98861, 'win?': 0, 'timeTaken': '0:00:15.554000', 'score': 1064, 'startTime': '2016-11-27 20:26:56', 'maxTile': 512, 'moves': 482}
{'statesScanned': 152970, 'win?': 0, 'timeTaken': '0:00:23.331000', 'score': 1786, 'startTime': '2016-11-27 20:27:13', 'maxTile': 1024, 'moves': 802}
{'statesScanned': 159205, 'win?': 0, 'timeTaken': '0:00:24.399000', 'score': 1834, 'startTime': '2016-11-27 20:27:37', 'maxTile': 1024, 'moves': 833}
{'statesScanned': 203795, 'win?': 1, 'timeTaken': '0:00:31.267000', 'score': 2474, 'startTime': '2016-11-27 20:28:03', 'maxTile': 2048, 'moves': 1119}
{'statesScanned': 162243, 'win?': 0, 'timeTaken': '0:00:24.870000', 'score': 1898, 'startTime': '2016-11-27 20:28:35', 'maxTile': 1024, 'moves': 852}
{'statesScanned': 123008, 'win?': 0, 'timeTaken': '0:00:18.572000', 'score': 1258, 'startTime': '2016-11-27 20:29:01', 'maxTile': 512, 'moves': 589}
{'statesScanned': 181261, 'win?': 0, 'timeTaken': '0:00:27.446000', 'score': 2058, 'startTime': '2016-11-27 20:29:20', 'maxTile': 1024, 'moves': 927}
{'statesScanned': 165886, 'win?': 0, 'timeTaken': '0:00:25.701000', 'score': 2024, 'startTime': '2016-11-27 20:29:49', 'maxTile': 1024, 'moves': 923}
{'statesScanned': 175391, 'win?': 0, 'timeTaken': '0:00:26.211000', 'score': 1852, 'startTime': '2016-11-27 20:30:15', 'maxTile': 1024, 'moves': 835}
{'statesScanned': 101689, 'win?': 0, 'timeTaken': '0:00:15.474000', 'score': 1054, 'startTime': '2016-11-27 20:30:43', 'maxTile': 512, 'moves': 477}
{'statesScanned': 182480, 'win?': 0, 'timeTaken': '0:00:28.138000', 'score': 2160, 'startTime': '2016-11-27 20:30:59', 'maxTile': 1024, 'moves': 988}
{'statesScanned': 138080, 'win?': 0, 'timeTaken': '0:00:21.456000', 'score': 1642, 'startTime': '2016-11-27 20:31:28', 'maxTile': 1024, 'moves': 745}
{'statesScanned': 163808, 'win?': 0, 'timeTaken': '0:00:24.876000', 'score': 1832, 'startTime': '2016-11-27 20:31:51', 'maxTile': 1024, 'moves': 838}
{'statesScanned': 250788, 'win?': 1, 'timeTaken': '0:00:38.698000', 'score': 3078, 'startTime': '2016-11-27 20:32:17', 'maxTile': 2048, 'moves': 1397}
{'statesScanned': 154283, 'win?': 0, 'timeTaken': '0:00:23.611000', 'score': 1738, 'startTime': '2016-11-27 20:32:56', 'maxTile': 1024, 'moves': 791}
{'statesScanned': 170157, 'win?': 0, 'timeTaken': '0:00:25.864000', 'score': 1866, 'startTime': '2016-11-27 20:33:21', 'maxTile': 1024, 'moves': 857}
{'statesScanned': 185011, 'win?': 0, 'timeTaken': '0:00:29.052000', 'score': 2138, 'startTime': '2016-11-27 20:33:48', 'maxTile': 1024, 'moves': 972}
{'statesScanned': 120184, 'win?': 0, 'timeTaken': '0:00:18.693000', 'score': 1422, 'startTime': '2016-11-27 20:34:18', 'maxTile': 1024, 'moves': 645}
{'statesScanned': 117309, 'win?': 0, 'timeTaken': '0:00:17.664000', 'score': 1168, 'startTime': '2016-11-27 20:34:38', 'maxTile': 512, 'moves': 523}
{'statesScanned': 98127, 'win?': 0, 'timeTaken': '0:00:15.729000', 'score': 1254, 'startTime': '2016-11-27 20:34:56', 'maxTile': 512, 'moves': 564}
{'statesScanned': 205505, 'win?': 0, 'timeTaken': '0:00:30.741000', 'score': 2234, 'startTime': '2016-11-27 20:35:13', 'maxTile': 1024, 'moves': 1007}
